"","year","month","value","units","date"
"1",2015,6,350.347989896443,"Terawatthours",2015.41666666667
"2",2015,5,311.367651727432,"Terawatthours",2015.33333333333
"3",2015,4,284.344395542062,"Terawatthours",2015.25
"4",2015,3,313.402578568137,"Terawatthours",2015.16666666667
"5",2015,2,323.343983993583,"Terawatthours",2015.08333333333
"6",2015,1,348.458986442173,"Terawatthours",2015
"7",2014,12,326.709240406439,"Terawatthours",2014.91666666667
"8",2014,11,306.928570222406,"Terawatthours",2014.83333333333
"9",2014,10,304.054503913676,"Terawatthours",2014.75
"10",2014,9,328.574863753115,"Terawatthours",2014.66666666667
"11",2014,8,371.550026580979,"Terawatthours",2014.58333333333
"12",2014,7,372.940559567663,"Terawatthours",2014.5
"13",2014,6,345.934762333839,"Terawatthours",2014.41666666667
"14",2014,5,313.917265752897,"Terawatthours",2014.33333333333
"15",2014,4,287.725249971706,"Terawatthours",2014.25
"16",2014,3,320.779773472581,"Terawatthours",2014.16666666667
"17",2014,2,313.553910749361,"Terawatthours",2014.08333333333
"18",2014,1,364.699430777184,"Terawatthours",2014
"19",2013,12,341.272473063567,"Terawatthours",2013.91666666667
"20",2013,11,304.071559743251,"Terawatthours",2013.83333333333
"21",2013,10,304.444540371402,"Terawatthours",2013.75
"22",2013,9,329.594168773839,"Terawatthours",2013.66666666667
"23",2013,8,372.463186783275,"Terawatthours",2013.58333333333
"24",2013,7,381.70490394105,"Terawatthours",2013.5
"25",2013,6,344.947359051821,"Terawatthours",2013.41666666667
"26",2013,5,311.434092415242,"Terawatthours",2013.33333333333
"27",2013,4,289.370876994832,"Terawatthours",2013.25
"28",2013,3,314.569350826104,"Terawatthours",2013.16666666667
"29",2013,2,299.42012963149,"Terawatthours",2013.08333333333
"30",2013,1,337.35351847311,"Terawatthours",2013
"31",2012,12,323.498217299591,"Terawatthours",2012.91666666667
"32",2012,11,295.791988390912,"Terawatthours",2012.83333333333
"33",2012,10,301.278835134464,"Terawatthours",2012.75
"34",2012,9,323.449676387352,"Terawatthours",2012.66666666667
"35",2012,8,382.530429100404,"Terawatthours",2012.58333333333
"36",2012,7,400.840195184041,"Terawatthours",2012.5
"37",2012,6,348.817623855259,"Terawatthours",2012.41666666667
"38",2012,5,325.318107087035,"Terawatthours",2012.33333333333
"39",2012,4,285.402830462105,"Terawatthours",2012.25
"40",2012,3,298.803835408953,"Terawatthours",2012.16666666667
"41",2012,2,299.092740454825,"Terawatthours",2012.08333333333
"42",2012,1,328.228539444451,"Terawatthours",2012
"43",2011,12,324.566803739578,"Terawatthours",2011.91666666667
"44",2011,11,293.981439045873,"Terawatthours",2011.83333333333
"45",2011,10,298.42481858515,"Terawatthours",2011.75
"46",2011,9,326.684745671429,"Terawatthours",2011.66666666667
"47",2011,8,392.982356116912,"Terawatthours",2011.58333333333
"48",2011,7,404.758389933084,"Terawatthours",2011.5
"49",2011,6,355.488822648243,"Terawatthours",2011.41666666667
"50",2011,5,312.857681403541,"Terawatthours",2011.33333333333
"51",2011,4,292.336632767479,"Terawatthours",2011.25
"52",2011,3,308.103068501456,"Terawatthours",2011.16666666667
"53",2011,2,302.705551459876,"Terawatthours",2011.08333333333
"54",2011,1,350.795282241391,"Terawatthours",2011
"55",2010,12,350.067524310537,"Terawatthours",2010.91666666667
"56",2010,11,295.825431080269,"Terawatthours",2010.83333333333
"57",2010,10,297.672891703709,"Terawatthours",2010.75
"58",2010,9,334.528565374477,"Terawatthours",2010.66666666667
"59",2010,8,395.276226470529,"Terawatthours",2010.58333333333
"60",2010,7,396.089512962851,"Terawatthours",2010.5
"61",2010,6,363.253960096291,"Terawatthours",2010.41666666667
"62",2010,5,317.022553930325,"Terawatthours",2010.33333333333
"63",2010,4,278.222049729273,"Terawatthours",2010.25
"64",2010,3,301.778499500453,"Terawatthours",2010.16666666667
"65",2010,2,309.093748962086,"Terawatthours",2010.08333333333
"66",2010,1,348.944279558235,"Terawatthours",2010
"67",2009,12,338.842186041649,"Terawatthours",2009.91666666667
"68",2009,11,286.762476765407,"Terawatthours",2009.83333333333
"69",2009,10,296.821840319795,"Terawatthours",2009.75
"70",2009,9,316.504508362526,"Terawatthours",2009.66666666667
"71",2009,8,368.534122241807,"Terawatthours",2009.58333333333
"72",2009,7,360.143780318929,"Terawatthours",2009.5
"73",2009,6,336.08795039725,"Terawatthours",2009.41666666667
"74",2009,5,300.945411695588,"Terawatthours",2009.33333333333
"75",2009,4,279.901268316536,"Terawatthours",2009.25
"76",2009,3,300.265896927411,"Terawatthours",2009.16666666667
"77",2009,2,290.873671233301,"Terawatthours",2009.08333333333
"78",2009,1,343.178251998799,"Terawatthours",2009
"79",2008,12,332.453098190913,"Terawatthours",2008.91666666667
"80",2008,11,299.727702028102,"Terawatthours",2008.83333333333
"81",2008,10,307.94588186782,"Terawatthours",2008.75
"82",2008,9,326.805403847529,"Terawatthours",2008.66666666667
"83",2008,8,376.040989980333,"Terawatthours",2008.58333333333
"84",2008,7,389.49155282818,"Terawatthours",2008.5
"85",2008,6,360.691717815895,"Terawatthours",2008.41666666667
"86",2008,5,314.42044511046,"Terawatthours",2008.33333333333
"87",2008,4,295.685645395017,"Terawatthours",2008.25
"88",2008,3,313.825959109846,"Terawatthours",2008.16666666667
"89",2008,2,314.285872942688,"Terawatthours",2008.08333333333
"90",2008,1,350.917607041658,"Terawatthours",2008
"91",2007,12,334.765565324757,"Terawatthours",2007.91666666667
"92",2007,11,303.649007680029,"Terawatthours",2007.83333333333
"93",2007,10,321.545760320317,"Terawatthours",2007.75
"94",2007,9,343.566173274577,"Terawatthours",2007.66666666667
"95",2007,8,407.758994005029,"Terawatthours",2007.58333333333
"96",2007,7,380.139602595826,"Terawatthours",2007.5
"97",2007,6,350.682160609381,"Terawatthours",2007.41666666667
"98",2007,5,319.213397135434,"Terawatthours",2007.33333333333
"99",2007,4,293.040733142284,"Terawatthours",2007.25
"100",2007,3,309.805753234336,"Terawatthours",2007.16666666667
"101",2007,2,312.473078875308,"Terawatthours",2007.08333333333
"102",2007,1,341.765352026405,"Terawatthours",2007
"103",2006,12,325.091522571083,"Terawatthours",2006.91666666667
"104",2006,11,298.869820771947,"Terawatthours",2006.83333333333
"105",2006,10,310.86513070575,"Terawatthours",2006.75
"106",2006,9,321.004305643343,"Terawatthours",2006.66666666667
"107",2006,8,394.191935674624,"Terawatthours",2006.58333333333
"108",2006,7,396.761724166303,"Terawatthours",2006.5
"109",2006,6,352.136996867382,"Terawatthours",2006.41666666667
"110",2006,5,319.612470485688,"Terawatthours",2006.33333333333
"111",2006,4,287.945168957707,"Terawatthours",2006.25
"112",2006,3,308.122266581121,"Terawatthours",2006.16666666667
"113",2006,2,297.105175128746,"Terawatthours",2006.08333333333
"114",2006,1,317.719797364747,"Terawatthours",2006
"115",2005,12,336.516042729094,"Terawatthours",2005.91666666667
"116",2005,11,295.927523411161,"Terawatthours",2005.83333333333
"117",2005,10,305.86799691915,"Terawatthours",2005.75
"118",2005,9,338.562326588778,"Terawatthours",2005.66666666667
"119",2005,8,391.463993829955,"Terawatthours",2005.58333333333
"120",2005,7,388.885912819651,"Terawatthours",2005.5
"121",2005,6,351.56840927828,"Terawatthours",2005.41666666667
"122",2005,5,304.576639671064,"Terawatthours",2005.33333333333
"123",2005,4,279.92557647471,"Terawatthours",2005.25
"124",2005,3,306.89305972035,"Terawatthours",2005.16666666667
