"","year","month","value","units","date"
"1",2015,6,350.453015029384,"Terawatthours",2015.41666666667
"2",2015,5,311.460991577978,"Terawatthours",2015.33333333333
"3",2015,4,284.429634529594,"Terawatthours",2015.25
"4",2015,3,313.496528436346,"Terawatthours",2015.16666666667
"5",2015,2,323.440914034239,"Terawatthours",2015.08333333333
"6",2015,1,348.563445301453,"Terawatthours",2015
"7",2014,12,326.807179262651,"Terawatthours",2014.91666666667
"8",2014,11,307.020579352815,"Terawatthours",2014.83333333333
"9",2014,10,304.145651474431,"Terawatthours",2014.75
"10",2014,9,328.673361874246,"Terawatthours",2014.66666666667
"11",2014,8,371.661407528098,"Terawatthours",2014.58333333333
"12",2014,7,373.052357360079,"Terawatthours",2014.5
"13",2014,6,346.038464496976,"Terawatthours",2014.41666666667
"14",2014,5,314.011369910817,"Terawatthours",2014.33333333333
"15",2014,4,287.81150245067,"Terawatthours",2014.25
"16",2014,3,320.875934830217,"Terawatthours",2014.16666666667
"17",2014,2,313.647905982986,"Terawatthours",2014.08333333333
"18",2014,1,364.808758095466,"Terawatthours",2014
"19",2013,12,341.374777594736,"Terawatthours",2013.91666666667
"20",2013,11,304.162712416897,"Terawatthours",2013.83333333333
"21",2013,10,304.535804854852,"Terawatthours",2013.75
"22",2013,9,329.692972455864,"Terawatthours",2013.66666666667
"23",2013,8,372.574841471857,"Terawatthours",2013.58333333333
"24",2013,7,381.8193290539,"Terawatthours",2013.5
"25",2013,6,345.050765217368,"Terawatthours",2013.41666666667
"26",2013,5,311.527452182963,"Terawatthours",2013.33333333333
"27",2013,4,289.457622789591,"Terawatthours",2013.25
"28",2013,3,314.663650462015,"Terawatthours",2013.16666666667
"29",2013,2,299.509887928459,"Terawatthours",2013.08333333333
"30",2013,1,337.454648204542,"Terawatthours",2013
"31",2012,12,323.595193575345,"Terawatthours",2012.91666666667
"32",2012,11,295.880659066353,"Terawatthours",2012.83333333333
"33",2012,10,301.369150622564,"Terawatthours",2012.75
"34",2012,9,323.546638111815,"Terawatthours",2012.66666666667
"35",2012,8,382.645101684031,"Terawatthours",2012.58333333333
"36",2012,7,400.960356555024,"Terawatthours",2012.5
"37",2012,6,348.922190224623,"Terawatthours",2012.41666666667
"38",2012,5,325.415628917987,"Terawatthours",2012.33333333333
"39",2012,4,285.48838674065,"Terawatthours",2012.25
"40",2012,3,298.893408957088,"Terawatthours",2012.16666666667
"41",2012,2,299.182400609111,"Terawatthours",2012.08333333333
"42",2012,1,328.326933746642,"Terawatthours",2012
"43",2011,12,324.664100349503,"Terawatthours",2011.91666666667
"44",2011,11,294.069566966136,"Terawatthours",2011.83333333333
"45",2011,10,298.514278513988,"Terawatthours",2011.75
"46",2011,9,326.782677184763,"Terawatthours",2011.66666666667
"47",2011,8,393.100161913962,"Terawatthours",2011.58333333333
"48",2011,7,404.879725876025,"Terawatthours",2011.5
"49",2011,6,355.595388867928,"Terawatthours",2011.41666666667
"50",2011,5,312.951467925881,"Terawatthours",2011.33333333333
"51",2011,4,292.424267617985,"Terawatthours",2011.25
"52",2011,3,308.195429715626,"Terawatthours",2011.16666666667
"53",2011,2,302.796294640087,"Terawatthours",2011.08333333333
"54",2011,1,350.900441460838,"Terawatthours",2011
"55",2010,12,350.172465367255,"Terawatthours",2010.91666666667
"56",2010,11,295.914111780951,"Terawatthours",2010.83333333333
"57",2010,10,297.762126224602,"Terawatthours",2010.75
"58",2010,9,334.628848259106,"Terawatthours",2010.66666666667
"59",2010,8,395.394719909711,"Terawatthours",2010.58333333333
"60",2010,7,396.20825020398,"Terawatthours",2010.5
"61",2010,6,363.362854100397,"Terawatthours",2010.41666666667
"62",2010,5,317.117588972146,"Terawatthours",2010.33333333333
"63",2010,4,278.305453398203,"Terawatthours",2010.25
"64",2010,3,301.868964774816,"Terawatthours",2010.16666666667
"65",2010,2,309.186407156259,"Terawatthours",2010.08333333333
"66",2010,1,349.048883895655,"Terawatthours",2010
