"","series_id","units","value","date","year","month","change_first_order","change_second_order"
"1","TOTAL.OGNRPUS.M","Number of Rigs",1219,1973-01-01,1973,1,NA,NA
"2","TOTAL.OGNRPUS.M","Number of Rigs",1126,1973-02-01,1973,2,-0.0763,NA
"3","TOTAL.OGNRPUS.M","Number of Rigs",1049,1973-03-01,1973,3,-0.0684,-0.103538663171691
"4","TOTAL.OGNRPUS.M","Number of Rigs",993,1973-04-01,1973,4,-0.0534,-0.219298245614035
"5","TOTAL.OGNRPUS.M","Number of Rigs",1046,1973-05-01,1973,5,0.0534,-2
"6","TOTAL.OGNRPUS.M","Number of Rigs",1118,1973-06-01,1973,6,0.0688,0.288389513108614
"7","TOTAL.OGNRPUS.M","Number of Rigs",1156,1973-07-01,1973,7,0.034,-0.505813953488372
"8","TOTAL.OGNRPUS.M","Number of Rigs",1222,1973-08-01,1973,8,0.0571,0.679411764705882
"9","TOTAL.OGNRPUS.M","Number of Rigs",1266,1973-09-01,1973,9,0.036,-0.369527145359019
"10","TOTAL.OGNRPUS.M","Number of Rigs",1334,1973-10-01,1973,10,0.0537,0.491666666666667
"11","TOTAL.OGNRPUS.M","Number of Rigs",1390,1973-11-01,1973,11,0.042,-0.217877094972067
"12","TOTAL.OGNRPUS.M","Number of Rigs",1405,1973-12-01,1973,12,0.0108,-0.742857142857143
"13","TOTAL.OGNRPUS.M","Number of Rigs",1372,1974-01-01,1974,1,-0.0235,-3.17592592592593
"14","TOTAL.OGNRPUS.M","Number of Rigs",1355,1974-02-01,1974,2,-0.0124,-0.472340425531915
"15","TOTAL.OGNRPUS.M","Number of Rigs",1367,1974-03-01,1974,3,0.0089,-1.71774193548387
"16","TOTAL.OGNRPUS.M","Number of Rigs",1381,1974-04-01,1974,4,0.0102,0.146067415730337
"17","TOTAL.OGNRPUS.M","Number of Rigs",1413,1974-05-01,1974,5,0.0232,1.27450980392157
"18","TOTAL.OGNRPUS.M","Number of Rigs",1432,1974-06-01,1974,6,0.0134,-0.422413793103448
"19","TOTAL.OGNRPUS.M","Number of Rigs",1480,1974-07-01,1974,7,0.0335,1.5
"20","TOTAL.OGNRPUS.M","Number of Rigs",1518,1974-08-01,1974,8,0.0257,-0.232835820895522
"21","TOTAL.OGNRPUS.M","Number of Rigs",1527,1974-09-01,1974,9,0.0059,-0.770428015564202
